Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteAPI,,,,2022-12-09 20:35:19,2022-12-09 20:38:59,3m - 39.302s,FAILED
,,,,,,,
Test Cases/TC_Auth_Login,,,,2022-12-09 20:35:20,2022-12-09 20:35:27,6.532s,PASSED
"response = sendRequest(findTestObject(""Auth/AA007_Login""))",,,,2022-12-09 20:35:21,2022-12-09 20:35:24,3.537s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:24,2022-12-09 20:35:25,0.461s,PASSED
"response = sendRequest(findTestObject(""Auth/AA008_LogLinkBod""))",,,,2022-12-09 20:35:25,2022-12-09 20:35:25,0.223s,PASSED
"verifyResponseStatusCode(response, statusCode7)",,,,2022-12-09 20:35:25,2022-12-09 20:35:25,0.006s,PASSED
"response = sendRequest(findTestObject(""Auth/AA009_NegLogLink""))",,,,2022-12-09 20:35:25,2022-12-09 20:35:26,0.637s,PASSED
"verifyResponseStatusCode(response, statusCode7)",,,,2022-12-09 20:35:26,2022-12-09 20:35:26,0.004s,PASSED
"response = sendRequest(findTestObject(""Auth/AA010_LogBod""))",,,,2022-12-09 20:35:26,2022-12-09 20:35:26,0.219s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:35:26,2022-12-09 20:35:26,0.005s,PASSED
"response = sendRequest(findTestObject(""Auth/AA011_LogGet""))",,,,2022-12-09 20:35:26,2022-12-09 20:35:26,0.446s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:35:26,2022-12-09 20:35:26,0.003s,PASSED
"response = sendRequest(findTestObject(""Auth/AA012_LogPut""))",,,,2022-12-09 20:35:26,2022-12-09 20:35:27,0.218s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:35:27,2022-12-09 20:35:27,0.003s,PASSED
,,,,,,,
Test Cases/TC_Auth_Register,,,,2022-12-09 20:35:27,2022-12-09 20:35:27,0.802s,FAILED
"response = sendRequest(findTestObject(""Auth/AA001_Register""))",,,,2022-12-09 20:35:27,2022-12-09 20:35:27,0.224s,PASSED
"verifyResponseStatusCode(response, statusCode1)",,,,2022-12-09 20:35:27,2022-12-09 20:35:27,0.044s,FAILED
,,,,,,,
Test Cases/TC_Auth_ReqOTP,,,,2022-12-09 20:35:27,2022-12-09 20:35:31,3.298s,PASSED
"response = sendRequest(findTestObject(""Auth/AA013_RequestOTP""))",,,,2022-12-09 20:35:28,2022-12-09 20:35:28,0.527s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:28,2022-12-09 20:35:29,0.004s,PASSED
"response = sendRequest(findTestObject(""Auth/AA014_ReqLinkBod""))",,,,2022-12-09 20:35:29,2022-12-09 20:35:29,0.826s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:35:29,2022-12-09 20:35:29,0.002s,PASSED
"response = sendRequest(findTestObject(""Auth/AA015_ReqLink""))",,,,2022-12-09 20:35:29,2022-12-09 20:35:30,0.712s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:35:30,2022-12-09 20:35:30,0.002s,PASSED
"response = sendRequest(findTestObject(""Auth/AA016_ReqBod""))",,,,2022-12-09 20:35:30,2022-12-09 20:35:30,0.198s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:35:30,2022-12-09 20:35:30,0.002s,PASSED
"response = sendRequest(findTestObject(""Auth/AA017_ReqGet""))",,,,2022-12-09 20:35:30,2022-12-09 20:35:30,0.222s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:35:30,2022-12-09 20:35:30,0.002s,PASSED
"response = sendRequest(findTestObject(""Auth/AA018_ReqPut""))",,,,2022-12-09 20:35:30,2022-12-09 20:35:31,0.209s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:35:31,2022-12-09 20:35:31,0.004s,PASSED
,,,,,,,
Test Cases/TC_Auth_UpdatePass,,,,2022-12-09 20:35:31,2022-12-09 20:35:32,1.588s,FAILED
"response = sendRequest(findTestObject(""Auth/AA036_updatePass""))",,,,2022-12-09 20:35:31,2022-12-09 20:35:32,0.611s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:32,2022-12-09 20:35:32,0.004s,PASSED
"response = sendRequest(findTestObject(""Auth/AA037_UpdatePassLinkBod""))",,,,2022-12-09 20:35:32,2022-12-09 20:35:32,0.270s,FAILED
,,,,,,,
Test Cases/TC_Auth_UpdateProfile,,,,2022-12-09 20:35:32,2022-12-09 20:35:33,1.139s,FAILED
"response = sendRequest(findTestObject(""Auth/AA031_UpdateProfile""))",,,,2022-12-09 20:35:33,2022-12-09 20:35:33,0.480s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:33,2022-12-09 20:35:33,0.006s,FAILED
,,,,,,,
Test Cases/TC_Admin_allUser,,,,2022-12-09 20:35:33,2022-12-09 20:35:37,3.324s,PASSED
"response = sendRequest(findTestObject(""Admin/AD001_GetAllUser""))",,,,2022-12-09 20:35:34,2022-12-09 20:35:35,0.556s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:35,2022-12-09 20:35:35,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD002_GetAllUserLink""))",,,,2022-12-09 20:35:35,2022-12-09 20:35:35,0.409s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:35:35,2022-12-09 20:35:35,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD003_GetAllUserPost""))",,,,2022-12-09 20:35:35,2022-12-09 20:35:37,1.769s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:35:37,2022-12-09 20:35:37,0.002s,PASSED
,,,,,,,
Test Cases/TC_Admin_DeleteID,,,,2022-12-09 20:35:37,2022-12-09 20:35:38,1.456s,PASSED
"response = sendRequest(findTestObject(""Admin/AD015_DeleteID""))",,,,2022-12-09 20:35:37,2022-12-09 20:35:38,0.418s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:38,2022-12-09 20:35:38,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD016_DeleteIDLink""))",,,,2022-12-09 20:35:38,2022-12-09 20:35:38,0.306s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:35:38,2022-12-09 20:35:38,0.004s,PASSED
"response = sendRequest(findTestObject(""Admin/AD017_DeleteIDPost""))",,,,2022-12-09 20:35:38,2022-12-09 20:35:38,0.277s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:35:38,2022-12-09 20:35:38,0.002s,PASSED
,,,,,,,
Test Cases/TC_Admin_UpdateUserbyID,,,,2022-12-09 20:35:38,2022-12-09 20:35:54,15.432s,PASSED
"response = sendRequest(findTestObject(""Admin/AD009_UpdateUser""))",,,,2022-12-09 20:35:39,2022-12-09 20:35:40,1.099s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:40,2022-12-09 20:35:40,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD010_UpdateIDLinkBod""))",,,,2022-12-09 20:35:40,2022-12-09 20:35:40,0.448s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:35:40,2022-12-09 20:35:40,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD011_UpdateIDLink""))",,,,2022-12-09 20:35:40,2022-12-09 20:35:41,0.276s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:35:41,2022-12-09 20:35:41,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD012_UpdateIDBod""))",,,,2022-12-09 20:35:41,2022-12-09 20:35:41,0.239s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:35:41,2022-12-09 20:35:41,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD013_UpdateIDGet""))",,,,2022-12-09 20:35:41,2022-12-09 20:35:53,12.177s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:35:53,2022-12-09 20:35:53,0.002s,PASSED
"response = sendRequest(findTestObject(""Admin/AD014_UpdateIDPost""))",,,,2022-12-09 20:35:53,2022-12-09 20:35:54,0.643s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:35:54,2022-12-09 20:35:54,0.004s,PASSED
,,,,,,,
Test Cases/TC_Admin_UserByID,,,,2022-12-09 20:35:54,2022-12-09 20:36:01,6.967s,PASSED
"response = sendRequest(findTestObject(""Admin/AD005_GetUserID""))",,,,2022-12-09 20:35:55,2022-12-09 20:35:57,2.635s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:35:57,2022-12-09 20:35:57,0.004s,PASSED
"response = sendRequest(findTestObject(""Admin/AD006_GetIDPOST""))",,,,2022-12-09 20:35:57,2022-12-09 20:36:00,2.978s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:36:00,2022-12-09 20:36:00,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD007_GetIDPost""))",,,,2022-12-09 20:36:00,2022-12-09 20:36:01,0.306s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:01,2022-12-09 20:36:01,0.004s,PASSED
,,,,,,,
Test Cases/TC_User_DetailProf,,,,2022-12-09 20:36:01,2022-12-09 20:36:04,3.790s,PASSED
"response = sendRequest(findTestObject(""User/AB001_GetProf""))",,,,2022-12-09 20:36:02,2022-12-09 20:36:02,0.397s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:02,2022-12-09 20:36:02,0.004s,PASSED
"response = sendRequest(findTestObject(""User/AB002_getProfLink""))",,,,2022-12-09 20:36:02,2022-12-09 20:36:04,1.463s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:36:04,2022-12-09 20:36:04,0.009s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:36:04,2022-12-09 20:36:04,0.296s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:04,2022-12-09 20:36:04,0.004s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:36:04,2022-12-09 20:36:04,0.342s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:36:04,2022-12-09 20:36:04,0.003s,PASSED
,,,,,,,
Test Cases/TC_User_TotalUser,,,,2022-12-09 20:36:04,2022-12-09 20:36:09,4.183s,PASSED
"response = sendRequest(findTestObject(""User/AB005_GetTotalUser""))",,,,2022-12-09 20:36:05,2022-12-09 20:36:06,0.687s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:06,2022-12-09 20:36:06,0.003s,PASSED
"response = sendRequest(findTestObject(""User/AB006_New Request""))",,,,2022-12-09 20:36:06,2022-12-09 20:36:07,0.975s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:36:07,2022-12-09 20:36:07,0.004s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:36:07,2022-12-09 20:36:08,0.806s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:08,2022-12-09 20:36:08,0.005s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:36:08,2022-12-09 20:36:09,0.700s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:36:09,2022-12-09 20:36:09,0.005s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryList,,,,2022-12-09 20:36:09,2022-12-09 20:36:15,5.928s,PASSED
"response = sendRequest(findTestObject(""Product/AE015_GetCategoryList""))",,,,2022-12-09 20:36:11,2022-12-09 20:36:12,0.617s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:12,2022-12-09 20:36:12,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE016_GetCateListLink""))",,,,2022-12-09 20:36:12,2022-12-09 20:36:13,1.041s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:36:13,2022-12-09 20:36:13,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE013_TotProdPost""))",,,,2022-12-09 20:36:13,2022-12-09 20:36:14,0.851s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:14,2022-12-09 20:36:14,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE018_GetCateListPut""))",,,,2022-12-09 20:36:14,2022-12-09 20:36:15,0.629s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:36:15,2022-12-09 20:36:15,0.004s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryListByProductType,,,,2022-12-09 20:36:15,2022-12-09 20:36:17,2.590s,PASSED
"response = sendRequest(findTestObject(""Product/AE019_GetCateListByProdType""))",,,,2022-12-09 20:36:16,2022-12-09 20:36:16,0.447s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:16,2022-12-09 20:36:16,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE021_GetCateListByProdTypePost""))",,,,2022-12-09 20:36:16,2022-12-09 20:36:17,0.377s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:17,2022-12-09 20:36:17,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE022_GetCateListByProdTypePut""))",,,,2022-12-09 20:36:17,2022-12-09 20:36:17,0.472s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:36:17,2022-12-09 20:36:17,0.004s,PASSED
,,,,,,,
Test Cases/TC_Product_CreateProduct,,,,2022-12-09 20:36:17,2022-12-09 20:36:51,33.471s,PASSED
"response = sendRequest(findTestObject(""Product/AE001_CreateProduct""))",,,,2022-12-09 20:36:18,2022-12-09 20:36:27,9.484s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:27,2022-12-09 20:36:27,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE002_CreateProductLinkBod""))",,,,2022-12-09 20:36:27,2022-12-09 20:36:50,22.366s,PASSED
"verifyResponseStatusCode(response, statusCode7)",,,,2022-12-09 20:36:50,2022-12-09 20:36:50,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE003_CreateProdLink""))",,,,2022-12-09 20:36:50,2022-12-09 20:36:50,0.275s,PASSED
"verifyResponseStatusCode(response, statusCode7)",,,,2022-12-09 20:36:50,2022-12-09 20:36:50,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE004_CreateProductCodeExist""))",,,,2022-12-09 20:36:50,2022-12-09 20:36:50,0.273s,PASSED
"verifyResponseStatusCode(response, statusCode2)",,,,2022-12-09 20:36:50,2022-12-09 20:36:50,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE005_CreateProdPut""))",,,,2022-12-09 20:36:50,2022-12-09 20:36:51,0.275s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:51,2022-12-09 20:36:51,0.002s,PASSED
,,,,,,,
Test Cases/TC_Product_GetAllProduct,,,,2022-12-09 20:36:51,2022-12-09 20:36:54,2.867s,PASSED
"response = sendRequest(findTestObject(""Product/AE007_GetAllProduct""))",,,,2022-12-09 20:36:51,2022-12-09 20:36:52,0.664s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:36:52,2022-12-09 20:36:52,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE008_AllProdLink""))",,,,2022-12-09 20:36:52,2022-12-09 20:36:52,0.529s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:36:52,2022-12-09 20:36:53,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE009_AllProdPost""))",,,,2022-12-09 20:36:53,2022-12-09 20:36:53,0.307s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:36:53,2022-12-09 20:36:53,0.003s,PASSED
